w201912161530:1815.8365478515625, 201912161535:1819.7308959960938, 201912161540:1823.625244140625, 201912161545:1827.5195617675781, 201912161550:1831.4139099121094, 201912161555:1835.3082580566406, 201912161600:1865.1818542480469, 201912161605:1869.076171875, 201912161610:1872.9705200195312, 201912161615:1876.8648681640625, 201912161620:1880.7592163085938, 201912161625:1884.653564453125,
201912311320:1617.626220703125, 201912311325:1622.0866088867188, 201912311330:1626.5469665527344, 201912311335:1631.00732421875, 201912311340:1635.4676818847656, 201912311345:1639.9280700683594, 201912311350:1644.388427734375, 201912311355:1648.8487854003906, 201912311400:1677.3556823730469, 201912311405:1681.8160705566406, 201912311410:1686.2764282226562, 201912311415:1690.7367858886719, 
201912311325:1619.8940124511719, 201912311330:1624.3302001953125, 201912311335:1628.7663879394531, 201912311340:1633.2025756835938, 201912311345:1637.6387329101562, 201912311350:1642.0749206542969, 201912311355:1646.5111083984375, 201912311400:1674.0259704589844, 201912311405:1678.462158203125, 201912311410:1682.8983459472656, 201912311415:1687.3345336914062, 201912311420:1691.7707214355469, 
201912311330:1637.1700134277344, 201912311335:1641.8435363769531, 201912311340:1646.5170593261719, 201912311345:1651.1905822753906, 201912311350:1655.8641052246094, 201912311355:1660.5376281738281, 201912311400:1686.7911071777344, 201912311405:1691.4646301269531, 201912311410:1696.1381530761719, 201912311415:1700.8117065429688, 201912311420:1705.4852294921875, 201912311425:1710.1587524414062, 
201912311335:1629.9861755371094, 201912311340:1634.9623107910156, 201912311345:1639.9384460449219, 201912311350:1644.9145812988281, 201912311355:1649.8907165527344, 201912311400:1673.6809387207031, 201912311405:1678.6571044921875, 201912311410:1683.6332397460938, 201912311415:1688.609375, 201912311420:1693.5855102539062, 201912311425:1698.5616455078125, 201912311430:1703.5377807617188, 
201912311340:1638.362548828125, 201912311345:1643.502685546875, 201912311350:1648.642822265625, 201912311355:1653.782958984375, 201912311400:1674.4054870605469, 201912311405:1679.5456237792969, 201912311410:1684.6857604980469, 201912311415:1689.8258972167969, 201912311420:1694.9660339355469, 201912311425:1700.1061706542969, 201912311430:1705.2463073730469, 201912311435:1710.3864440917969, 
201912311345:1653.8422546386719, 201912311350:1658.8178100585938, 201912311355:1663.7933654785156, 201912311400:1686.7212829589844, 201912311405:1691.6968383789062, 201912311410:1696.6724243164062, 201912311415:1701.6479797363281, 201912311420:1706.62353515625, 201912311425:1711.5990905761719, 201912311430:1716.5746459960938, 201912311435:1721.5502014160156, 201912311440:1726.5257873535156, 
201912311350:1650.3162841796875, 201912311355:1654.0610046386719, 201912311400:1690.4354553222656, 201912311405:1694.18017578125, 201912311410:1697.9248962402344, 201912311415:1701.6696166992188, 201912311420:1705.414306640625, 201912311425:1709.1590270996094, 201912311430:1712.9037475585938, 201912311435:1716.6484680175781, 201912311440:1720.3931884765625, 201912311445:1724.1378784179688, 
201912311355:1646.1610412597656, 201912311400:1676.2254943847656, 201912311405:1680.5665588378906, 201912311410:1684.9075927734375, 201912311415:1689.2486572265625, 201912311420:1693.5896911621094, 201912311425:1697.9307556152344, 201912311430:1702.2717895507812, 201912311435:1706.6128540039062, 201912311440:1710.9538879394531, 201912311445:1715.2949523925781, 201912311450:1719.635986328125, 
201912311400:1677.8121643066406, 201912311405:1683.552734375, 201912311410:1689.2932739257812, 201912311415:1695.0338439941406, 201912311420:1700.7743835449219, 201912311425:1706.5149536132812, 201912311430:1712.2554931640625, 201912311435:1717.9960632324219, 201912311440:1723.7366027832031, 201912311445:1729.4771423339844, 201912311450:1735.2177124023438, 201912311455:1740.958251953125, 
201912311405:1681.2314758300781, 201912311410:1686.7359619140625, 201912311415:1692.2404479980469, 201912311420:1697.7449340820312, 201912311425:1703.2494201660156, 201912311430:1708.75390625, 201912311435:1714.2583923339844, 201912311440:1719.7628784179688, 201912311445:1725.2673645019531, 201912311450:1730.7718505859375, 201912311455:1736.2763366699219, 201912311500:1753.2472839355469, 
201912311410:1688.5462341308594, 201912311415:1693.4353942871094, 201912311420:1698.3245544433594, 201912311425:1703.2136840820312, 201912311430:1708.1028442382812, 201912311435:1712.9920043945312, 201912311440:1717.8811645507812, 201912311445:1722.7703247070312, 201912311450:1727.6594848632812, 201912311455:1732.5486450195312, 201912311500:1755.7232360839844, 201912311505:1760.6123962402344, 
201912311415:1690.9593200683594, 201912311420:1696.0038146972656, 201912311425:1701.0482788085938, 201912311430:1706.0927429199219, 201912311435:1711.1372375488281, 201912311440:1716.1817016601562, 201912311445:1721.2261962890625, 201912311450:1726.2706604003906, 201912311455:1731.3151550292969, 201912311500:1754.0660095214844, 201912311505:1759.1104736328125, 201912311510:1764.1549682617188, 
201912311420:1690.1233825683594, 201912311425:1694.8622436523438, 201912311430:1699.6011047363281, 201912311435:1704.3399658203125, 201912311440:1709.0787963867188, 201912311445:1713.8176574707031, 201912311450:1718.5565185546875, 201912311455:1723.2953796386719, 201912311500:1747.7607116699219, 201912311505:1752.4995727539062, 201912311510:1757.2384338378906, 201912311515:1761.9772644042969, 
201912311425:1711.2535400390625, 201912311430:1715.5606079101562, 201912311435:1719.86767578125, 201912311440:1724.1747131347656, 201912311445:1728.4817810058594, 201912311450:1732.7888488769531, 201912311455:1737.0959167480469, 201912311500:1767.0335083007812, 201912311505:1771.340576171875, 201912311510:1775.6476135253906, 201912311515:1779.9546813964844, 201912311520:1784.2617492675781, 
201912311430:1707.2122192382812, 201912311435:1711.8848571777344, 201912311440:1716.5575256347656, 201912311445:1721.2301635742188, 201912311450:1725.9028015136719, 201912311455:1730.5754699707031, 201912311500:1756.154541015625, 201912311505:1760.8271789550781, 201912311510:1765.4998168945312, 201912311515:1770.1724853515625, 201912311520:1774.8451232910156, 201912311525:1779.5177612304688, 
201912311435:1714.3531494140625, 201912311440:1719.2490234375, 201912311445:1724.1448669433594, 201912311450:1729.0407409667969, 201912311455:1733.9365844726562, 201912311500:1757.1244201660156, 201912311505:1762.0202941894531, 201912311510:1766.9161376953125, 201912311515:1771.81201171875, 201912311520:1776.7078552246094, 201912311525:1781.6037292480469, 201912311530:1786.4995727539062, 
201912311440:1713.7878723144531, 201912311445:1717.6913146972656, 201912311450:1721.5947570800781, 201912311455:1725.4981994628906, 201912311500:1759.24072265625, 201912311505:1763.1441650390625, 201912311510:1767.047607421875, 201912311515:1770.9510498046875, 201912311520:1774.8544616699219, 201912311525:1778.7579040527344, 201912311530:1782.6613464355469, 201912311535:1786.5647888183594, 
201912311445:1723.774658203125, 201912311450:1728.2291259765625, 201912311455:1732.68359375, 201912311500:1760.8254699707031, 201912311505:1765.2799377441406, 201912311510:1769.734375, 201912311515:1774.1888427734375, 201912311520:1778.643310546875, 201912311525:1783.0977478027344, 201912311530:1787.5522155761719, 201912311535:1792.0066833496094, 201912311540:1796.4611206054688, 
201912311450:1730.8461608886719, 201912311455:1736.0160217285156, 201912311500:1756.6443176269531, 201912311505:1761.8141479492188, 201912311510:1766.9840087890625, 201912311515:1772.1538391113281, 201912311520:1777.3236999511719, 201912311525:1782.4935302734375, 201912311530:1787.6633911132812, 201912311535:1792.8332214355469, 201912311540:1798.0030822753906, 201912311545:1803.1729125976562, 
201912311455:1735.9840087890625, 201912311500:1756.7804870605469, 201912311505:1761.8411560058594, 201912311510:1766.9018249511719, 201912311515:1771.9624938964844, 201912311520:1777.0231323242188, 201912311525:1782.0838012695312, 201912311530:1787.1444702148438, 201912311535:1792.2051391601562, 201912311540:1797.2658081054688, 201912311545:1802.3264770507812, 201912311550:1807.3871459960938, 
201912311500:1756.5722961425781, 201912311505:1760.7293701171875, 201912311510:1764.8864440917969, 201912311515:1769.0435180664062, 201912311520:1773.2005920410156, 201912311525:1777.357666015625, 201912311530:1781.5147399902344, 201912311535:1785.6718139648438, 201912311540:1789.8288879394531, 201912311545:1793.9859619140625, 201912311550:1798.14306640625, 201912311555:1802.3001403808594, 
201912311505:1759.8184509277344, 201912311510:1764.1525573730469, 201912311515:1768.4866638183594, 201912311520:1772.8207397460938, 201912311525:1777.1548461914062, 201912311530:1781.4889526367188, 201912311535:1785.8230590820312, 201912311540:1790.1571655273438, 201912311545:1794.4912719726562, 201912311550:1798.8253784179688, 201912311555:1803.1594848632812, 201912311600:1831.7158813476562, 
201912311510:1767.663330078125, 201912311515:1772.8040466308594, 201912311520:1777.9447326660156, 201912311525:1783.0854187011719, 201912311530:1788.2261047363281, 201912311535:1793.3667907714844, 201912311540:1798.5074768066406, 201912311545:1803.648193359375, 201912311550:1808.7888793945312, 201912311555:1813.9295654296875, 201912311600:1835.11181640625, 201912311605:1840.2525024414062, 
201912311515:1771.3341064453125, 201912311520:1775.2599792480469, 201912311525:1779.1858215332031, 201912311530:1783.1116943359375, 201912311535:1787.0375671386719, 201912311540:1790.9634094238281, 201912311545:1794.8892822265625, 201912311550:1798.8151550292969, 201912311555:1802.7409973144531, 201912311600:1836.2166137695312, 201912311605:1840.1424865722656, 201912311610:1844.068359375, 
201912311520:1777.6093444824219, 201912311525:1782.4272155761719, 201912311530:1787.2450561523438, 201912311535:1792.0628967285156, 201912311540:1796.8807678222656, 201912311545:1801.6986083984375, 201912311550:1806.5164489746094, 201912311555:1811.3342895507812, 201912311600:1835.6676635742188, 201912311605:1840.4855346679688, 201912311610:1845.3033752441406, 201912311615:1850.1212158203125, 
201912311525:1774.2745361328125, 201912311530:1777.8305969238281, 201912311535:1781.3866577148438, 201912311540:1784.9427185058594, 201912311545:1788.498779296875, 201912311550:1792.0548400878906, 201912311555:1795.6109008789062, 201912311600:1832.9970703125, 201912311605:1836.5531311035156, 201912311610:1840.1091918945312, 201912311615:1843.665283203125, 201912311620:1847.2213439941406, 
201912311530:1782.7228698730469, 201912311535:1786.3414611816406, 201912311540:1789.9600524902344, 201912311545:1793.5786437988281, 201912311550:1797.1972045898438, 201912311555:1800.8157958984375, 201912311600:1838.7056274414062, 201912311605:1842.32421875, 201912311610:1845.9428100585938, 201912311615:1849.5614013671875, 201912311620:1853.1799621582031, 201912311625:1856.7985534667969, 
201912311535:1780.7662963867188, 201912311540:1785.0513000488281, 201912311545:1789.3362731933594, 201912311550:1793.6212768554688, 201912311555:1797.9062805175781, 201912311600:1827.7025756835938, 201912311605:1831.9875793457031, 201912311610:1836.2725830078125, 201912311615:1840.5575561523438, 201912311620:1844.8425598144531, 201912311625:1849.1275634765625, 201912311630:1853.4125366210938, 
201912311540:1793.4437255859375, 201912311545:1798.5528259277344, 201912311550:1803.6619262695312, 201912311555:1808.77099609375, 201912311600:1829.9483947753906, 201912311605:1835.0574951171875, 201912311610:1840.1665649414062, 201912311615:1845.2756652832031, 201912311620:1850.3847351074219, 201912311625:1855.4938354492188, 201912311630:1860.6029052734375, 201912311635:1865.7120056152344, 
201912311545:1792.8273315429688, 201912311550:1796.88818359375, 201912311555:1800.9490661621094, 201912311600:1833.3415832519531, 201912311605:1837.4024353027344, 201912311610:1841.4633178710938, 201912311615:1845.5242004394531, 201912311620:1849.5850830078125, 201912311625:1853.6459655761719, 201912311630:1857.7068481445312, 201912311635:1861.7677001953125, 201912311640:1865.8285827636719, 
201912311550:1802.5557861328125, 201912311555:1807.6027526855469, 201912311600:1829.9262390136719, 201912311605:1834.9732055664062, 201912311610:1840.0202026367188, 201912311615:1845.0671691894531, 201912311620:1850.1141662597656, 201912311625:1855.1611328125, 201912311630:1860.2081298828125, 201912311635:1865.2550964355469, 201912311640:1870.3020935058594, 201912311645:1875.3490600585938, 
201912311555:1804.2892456054688, 201912311600:1823.7098388671875, 201912311605:1828.9749450683594, 201912311610:1834.2400512695312, 201912311615:1839.5051574707031, 201912311620:1844.7702941894531, 201912311625:1850.035400390625, 201912311630:1855.3005065917969, 201912311635:1860.5656433105469, 201912311640:1865.8307495117188, 201912311645:1871.0958557128906, 201912311650:1876.3609619140625, 
201912311600:1830.8538513183594, 201912311605:1834.9445495605469, 201912311610:1839.0352783203125, 201912311615:1843.1259765625, 201912311620:1847.2167053222656, 201912311625:1851.3074035644531, 201912311630:1855.3981018066406, 201912311635:1859.4888305664062, 201912311640:1863.5795288085938, 201912311645:1867.6702270507812, 201912311650:1871.7609558105469, 201912311655:1875.8516540527344, 
201912311605:1837.5007019042969, 201912311610:1842.5157775878906, 201912311615:1847.5308837890625, 201912311620:1852.5459899902344, 201912311625:1857.5610656738281, 201912311630:1862.576171875, 201912311635:1867.5912780761719, 201912311640:1872.6063537597656, 201912311645:1877.6214599609375, 201912311650:1882.6365661621094, 201912311655:1887.6516723632812, 201912311700:1910.3792114257812, 
201912311610:1833.8099670410156, 201912311615:1838.6699523925781, 201912311620:1843.5299682617188, 201912311625:1848.3899536132812, 201912311630:1853.2499389648438, 201912311635:1858.1099243164062, 201912311640:1862.9699096679688, 201912311645:1867.8299255371094, 201912311650:1872.6899108886719, 201912311655:1877.5498962402344, 201912311700:1900.9953002929688, 201912311705:1905.8553161621094, 
201912311615:1840.9682312011719, 201912311620:1844.7191467285156, 201912311625:1848.4700622558594, 201912311630:1852.2209777832031, 201912311635:1855.971923828125, 201912311640:1859.7228393554688, 201912311645:1863.4737548828125, 201912311650:1867.2246704101562, 201912311655:1870.9755859375, 201912311700:1906.2588806152344, 201912311705:1910.0097961425781, 201912311710:1913.7607421875, 
201912311620:1851.0175170898438, 201912311625:1855.6561889648438, 201912311630:1860.2948303222656, 201912311635:1864.9334716796875, 201912311640:1869.5721130371094, 201912311645:1874.2107849121094, 201912311650:1878.8494262695312, 201912311655:1883.4880676269531, 201912311700:1909.8947143554688, 201912311705:1914.5333557128906, 201912311710:1919.1720275878906, 201912311715:1923.8106689453125, 
201912311625:1852.1861267089844, 201912311630:1856.0982971191406, 201912311635:1860.010498046875, 201912311640:1863.9226989746094, 201912311645:1867.8348693847656, 201912311650:1871.7470703125, 201912311655:1875.6592712402344, 201912311700:1909.2695007324219, 201912311705:1913.1817016601562, 201912311710:1917.0939025878906, 201912311715:1921.0060729980469, 201912311720:1924.9182739257812, 
201912311630:1858.1603088378906, 201912311635:1862.0299682617188, 201912311640:1865.8996276855469, 201912311645:1869.7693176269531, 201912311650:1873.6389770507812, 201912311655:1877.5086364746094, 201912311700:1911.2433776855469, 201912311705:1915.1130676269531, 201912311710:1918.9827270507812, 201912311715:1922.8523864746094, 201912311720:1926.7220458984375, 201912311725:1930.5917358398438, 
201912311635:1863.8069458007812, 201912311640:1867.5230712890625, 201912311645:1871.2392272949219, 201912311650:1874.9553527832031, 201912311655:1878.6714782714844, 201912311700:1914.1117858886719, 201912311705:1917.8279113769531, 201912311710:1921.5440673828125, 201912311715:1925.2601928710938, 201912311720:1928.976318359375, 201912311725:1932.6924743652344, 201912311730:1936.4085998535156, 
201912311640:1859.0497741699219, 201912311645:1863.5677795410156, 201912311650:1868.0857543945312, 201912311655:1872.6037292480469, 201912311700:1899.6727905273438, 201912311705:1904.1907653808594, 201912311710:1908.708740234375, 201912311715:1913.2267150878906, 201912311720:1917.7446899414062, 201912311725:1922.2626953125, 201912311730:1926.7806701660156, 201912311735:1931.2986450195312, 
201912311645:1869.6691284179688, 201912311650:1874.4252014160156, 201912311655:1879.1812744140625, 201912311700:1904.6377563476562, 201912311705:1909.3938293457031, 201912311710:1914.14990234375, 201912311715:1918.9059753417969, 201912311720:1923.6620483398438, 201912311725:1928.4181213378906, 201912311730:1933.1741943359375, 201912311735:1937.9302673339844, 201912311740:1942.6863708496094, 
201912311650:1872.236083984375, 201912311655:1876.7273254394531, 201912311700:1904.4363098144531, 201912311705:1908.9275512695312, 201912311710:1913.4188232421875, 201912311715:1917.9100646972656, 201912311720:1922.4013366699219, 201912311725:1926.892578125, 201912311730:1931.3838500976562, 201912311735:1935.8750915527344, 201912311740:1940.3663635253906, 201912311745:1944.8576049804688, 
201912311655:1875.1249694824219, 201912311700:1900.4561462402344, 201912311705:1905.1260070800781, 201912311710:1909.7958679199219, 201912311715:1914.4657287597656, 201912311720:1919.1356201171875, 201912311725:1923.8054809570312, 201912311730:1928.475341796875, 201912311735:1933.1452026367188, 201912311740:1937.8150634765625, 201912311745:1942.4849243164062, 201912311750:1947.15478515625, 
201912311700:1895.4804992675781, 201912311705:1900.0484313964844, 201912311710:1904.6163635253906, 201912311715:1909.1842956542969, 201912311720:1913.7522277832031, 201912311725:1918.3201599121094, 201912311730:1922.8880920410156, 201912311735:1927.4560241699219, 201912311740:1932.0239562988281, 201912311745:1936.5918884277344, 201912311750:1941.1598205566406, 201912311755:1945.7277526855469, 
201912311705:1904.2136840820312, 201912311710:1909.7449951171875, 201912311715:1915.2763061523438, 201912311720:1920.8075866699219, 201912311725:1926.3388977050781, 201912311730:1931.8702087402344, 201912311735:1937.4015197753906, 201912311740:1942.9328308105469, 201912311745:1948.4641418457031, 201912311750:1953.9954223632812, 201912311755:1959.5267333984375, 201912311800:1975.3069152832031, 
201912311710:1915.6878051757812, 201912311715:1919.7752685546875, 201912311720:1923.8627014160156, 201912311725:1927.9501647949219, 201912311730:1932.03759765625, 201912311735:1936.1250305175781, 201912311740:1940.2124938964844, 201912311745:1944.2999267578125, 201912311750:1948.3873596191406, 201912311755:1952.4748229980469, 201912311800:1984.6645202636719, 201912311805:1988.751953125, 
201912311715:1917.0229187011719, 201912311720:1920.9293518066406, 201912311725:1924.8357543945312, 201912311730:1928.7421569824219, 201912311735:1932.6485900878906, 201912311740:1936.5549926757812, 201912311745:1940.4613952636719, 201912311750:1944.3678283691406, 201912311755:1948.2742309570312, 201912311800:1982.2987976074219, 201912311805:1986.2052001953125, 201912311810:1990.1116333007812, 
201912311720:1920.3655090332031, 201912311725:1924.5850219726562, 201912311730:1928.8045349121094, 201912311735:1933.0240173339844, 201912311740:1937.2435302734375, 201912311745:1941.4630126953125, 201912311750:1945.6825256347656, 201912311755:1949.9020080566406, 201912311800:1980.6764831542969, 201912311805:1984.89599609375, 201912311810:1989.1155090332031, 201912311815:1993.3349914550781, 
201912311725:1931.2095031738281, 201912311730:1935.6542053222656, 201912311735:1940.0989074707031, 201912311740:1944.5436096191406, 201912311745:1948.98828125, 201912311750:1953.4329833984375, 201912311755:1957.877685546875, 201912311800:1985.624755859375, 201912311805:1990.0694580078125, 201912311810:1994.51416015625, 201912311815:1998.9588317871094, 201912311820:2003.4035339355469, 
201912311730:1934.0680236816406, 201912311735:1938.5279541015625, 201912311740:1942.9878540039062, 201912311745:1947.4477844238281, 201912311750:1951.9076843261719, 201912311755:1956.3676147460938, 201912311800:1984.057861328125, 201912311805:1988.5177612304688, 201912311810:1992.9776916503906, 201912311815:1997.4375915527344, 201912311820:2001.8975219726562, 201912311825:2006.357421875, 
201912311735:1926.3646545410156, 201912311740:1930.6928405761719, 201912311745:1935.0210571289062, 201912311750:1939.3492736816406, 201912311755:1943.6774597167969, 201912311800:1972.8074035644531, 201912311805:1977.1356201171875, 201912311810:1981.4638061523438, 201912311815:1985.7920227050781, 201912311820:1990.1202392578125, 201912311825:1994.4484252929688, 201912311830:1998.7766418457031, 
201912311740:1937.0356140136719, 201912311745:1941.2688903808594, 201912311750:1945.502197265625, 201912311755:1949.7355041503906, 201912311800:1981.0055236816406, 201912311805:1985.2388000488281, 201912311810:1989.4721069335938, 201912311815:1993.7054138183594, 201912311820:1997.9386901855469, 201912311825:2002.1719970703125, 201912311830:2006.4053039550781, 201912311835:2010.6386108398438, 
201912311745:1930.9823760986328, 201912311750:1933.9571990966797, 201912311755:1936.9320220947266, 201912311800:1980.510009765625, 201912311805:1983.4848327636719, 201912311810:1986.4596557617188, 201912311815:1989.4344787597656, 201912311820:1992.4093017578125, 201912311825:1995.3841247558594, 201912311830:1998.3589477539062, 201912311835:2001.3337707519531, 201912311840:2004.30859375, 
201912311750:1940.3727416992188, 201912311755:1944.6354064941406, 201912311800:1975.0380859375, 201912311805:1979.3007507324219, 201912311810:1983.5634155273438, 201912311815:1987.8260803222656, 201912311820:1992.0887451171875, 201912311825:1996.3514099121094, 201912311830:2000.6140441894531, 201912311835:2004.876708984375, 201912311840:2009.1393737792969, 201912311845:2013.4020385742188, 
201912311755:1943.4160461425781, 201912311800:1975.6800537109375, 201912311805:1979.6603698730469, 201912311810:1983.6407165527344, 201912311815:1987.6210327148438, 201912311820:1991.6013793945312, 201912311825:1995.5816955566406, 201912311830:1999.5620422363281, 201912311835:2003.5423583984375, 201912311840:2007.522705078125, 201912311845:2011.5030212402344, 201912311850:2015.4833679199219, 
201912311800:1969.5248107910156, 201912311805:1973.8314208984375, 201912311810:1978.1380615234375, 201912311815:1982.4446716308594, 201912311820:1986.7513122558594, 201912311825:1991.0579528808594, 201912311830:1995.3645629882812, 201912311835:1999.6712036132812, 201912311840:2003.9778137207031, 201912311845:2008.2844543457031, 201912311850:2012.591064453125, 201912311855:2016.897705078125, 
201912311805:1979.5113525390625, 201912311810:1983.5036926269531, 201912311815:1987.4960021972656, 201912311820:1991.4883422851562, 201912311825:1995.4806823730469, 201912311830:1999.4729919433594, 201912311835:2003.46533203125, 201912311840:2007.4576416015625, 201912311845:2011.4499816894531, 201912311850:2015.4423217773438, 201912311855:2019.4346313476562, 201912311900:2052.319366455078, 
201912311810:1987.692626953125, 201912311815:1992.0872497558594, 201912311820:1996.4818420410156, 201912311825:2000.8764343261719, 201912311830:2005.2710571289062, 201912311835:2009.6656494140625, 201912311840:2014.0602416992188, 201912311845:2018.4548645019531, 201912311850:2022.8494567871094, 201912311855:2027.2440490722656, 201912311900:2056.0374145507812, 201912311905:2060.4320373535156, 
201912311815:1990.6658630371094, 201912311820:1995.2234802246094, 201912311825:1999.7810668945312, 201912311830:2004.3386840820312, 201912311835:2008.8963012695312, 201912311840:2013.4538879394531, 201912311845:2018.0115051269531, 201912311850:2022.569091796875, 201912311855:2027.126708984375, 201912311900:2054.1275939941406, 201912311905:2058.6851806640625, 201912311910:2063.2427978515625, 
201912311820:1989.742431640625, 201912311825:1993.9848327636719, 201912311830:1998.2272644042969, 201912311835:2002.4696655273438, 201912311840:2006.7120666503906, 201912311845:2010.9544982910156, 201912311850:2015.1968994140625, 201912311855:2019.4393310546875, 201912311900:2049.6272888183594, 201912311905:2053.8696899414062, 201912311910:2058.112091064453, 201912311915:2062.354522705078, 
201912311825:1992.6556091308594, 201912311830:1996.2132263183594, 201912311835:1999.7708740234375, 201912311840:2003.3285217285156, 201912311845:2006.8861694335938, 201912311850:2010.4437866210938, 201912311855:2014.0014343261719, 201912311900:2050.4548950195312, 201912311905:2054.0125122070312, 201912311910:2057.5701599121094, 201912311915:2061.1278076171875, 201912311920:2064.6854248046875, 
201912311830:1998.4927520751953, 201912311835:2001.7174072265625, 201912311840:2004.9420623779297, 201912311845:2008.1667175292969, 201912311850:2011.3913879394531, 201912311855:2014.6160430908203, 201912311900:2055.8861694335938, 201912311905:2059.110824584961, 201912311910:2062.335479736328, 201912311915:2065.5601501464844, 201912311920:2068.7848052978516, 201912311925:2072.0094604492188, 
201912311835:2000.97607421875, 201912311840:2005.8755798339844, 201912311845:2010.7751159667969, 201912311850:2015.6746215820312, 201912311855:2020.5741577148438, 201912311900:2044.1176452636719, 201912311905:2049.0171813964844, 201912311910:2053.9166870117188, 201912311915:2058.816192626953, 201912311920:2063.7157287597656, 201912311925:2068.615234375, 201912311930:2073.5147705078125, 
201912311840:2017.6622924804688, 201912311845:2022.7341613769531, 201912311850:2027.8060302734375, 201912311855:2032.8779296875, 201912311900:2054.593505859375, 201912311905:2059.6653747558594, 201912311910:2064.7372436523438, 201912311915:2069.8091430664062, 201912311920:2074.8810119628906, 201912311925:2079.952880859375, 201912311930:2085.0247802734375, 201912311935:2090.096649169922, 
201912311845:2020.7643432617188, 201912311850:2026.6277465820312, 201912311855:2032.4911499023438, 201912311900:2044.4371337890625, 201912311905:2050.300537109375, 201912311910:2056.1639404296875, 201912311915:2062.02734375, 201912311920:2067.8907470703125, 201912311925:2073.754150390625, 201912311930:2079.6175537109375, 201912311935:2085.48095703125, 201912311940:2091.3443298339844, 
201912311850:2034.9629211425781, 201912311855:2041.5592346191406, 201912311900:2047.0777282714844, 201912311905:2053.674041748047, 201912311910:2060.2703857421875, 201912311915:2066.86669921875, 201912311920:2073.4630126953125, 201912311925:2080.059326171875, 201912311930:2086.6556396484375, 201912311935:2093.251953125, 201912311940:2099.8482666015625, 201912311945:2106.444580078125, 
201912311855:2023.3857116699219, 201912311900:2048.0098876953125, 201912311905:2052.7137145996094, 201912311910:2057.417510986328, 201912311915:2062.121337890625, 201912311920:2066.8251342773438, 201912311925:2071.5289611816406, 201912311930:2076.2327575683594, 201912311935:2080.936553955078, 201912311940:2085.640380859375, 201912311945:2090.3441772460938, 201912311950:2095.0480041503906, 
201912311900:2053.597900390625, 201912311905:2059.30419921875, 201912311910:2065.010498046875, 201912311915:2070.716796875, 201912311920:2076.423095703125, 201912311925:2082.12939453125, 201912311930:2087.835693359375, 201912311935:2093.5419921875, 201912311940:2099.248291015625, 201912311945:2104.95458984375, 201912311950:2110.660888671875, 201912311955:2116.3671875, 
201912311905:2054.3890075683594, 201912311910:2058.9676513671875, 201912311915:2063.5462951660156, 201912311920:2068.1249084472656, 201912311925:2072.7035522460938, 201912311930:2077.282196044922, 201912311935:2081.860809326172, 201912311940:2086.439453125, 201912311945:2091.018096923828, 201912311950:2095.596710205078, 201912311955:2100.1753540039062, 201912312000:2127.4356994628906, 
201912311910:2066.324951171875, 201912311915:2070.9691467285156, 201912311920:2075.6133728027344, 201912311925:2080.257568359375, 201912311930:2084.9017944335938, 201912311935:2089.5459899902344, 201912311940:2094.190216064453, 201912311945:2098.834442138672, 201912311950:2103.4786376953125, 201912311955:2108.1228637695312, 201912312000:2135.08447265625, 201912312005:2139.7286682128906, 
201912311915:2067.4119262695312, 201912311920:2071.328399658203, 201912311925:2075.244873046875, 201912311930:2079.1613159179688, 201912311935:2083.0777893066406, 201912311940:2086.9942321777344, 201912311945:2090.9107055664062, 201912311950:2094.8271484375, 201912311955:2098.743621826172, 201912312000:2132.305938720703, 201912312005:2136.222412109375, 201912312010:2140.1388549804688, 
201912311920:2083.068115234375, 201912311925:2088.0731506347656, 201912311930:2093.0781860351562, 201912311935:2098.083251953125, 201912311940:2103.0882873535156, 201912311945:2108.0933227539062, 201912311950:2113.098358154297, 201912311955:2118.1033935546875, 201912312000:2141.4419555664062, 201912312005:2146.446990966797, 201912312010:2151.4520263671875, 201912312015:2156.4570922851562, 
201912311925:2077.6903381347656, 201912311930:2081.810791015625, 201912311935:2085.9312438964844, 201912311940:2090.0516967773438, 201912311945:2094.172149658203, 201912311950:2098.2925720214844, 201912311955:2102.4130249023438, 201912312000:2134.742431640625, 201912312005:2138.8628540039062, 201912312010:2142.9833068847656, 201912312015:2147.103759765625, 201912312020:2151.2242126464844, 
201912311930:2078.9285583496094, 201912311935:2083.9874572753906, 201912311940:2089.046356201172, 201912311945:2094.105255126953, 201912311950:2099.1641540527344, 201912311955:2104.2230529785156, 201912312000:2125.40380859375, 201912312005:2130.4627075195312, 201912312010:2135.5216064453125, 201912312015:2140.5805053710938, 201912312020:2145.639404296875, 201912312025:2150.6983032226562, 
201912311935:2086.7838439941406, 201912311940:2091.76416015625, 201912311945:2096.7444763183594, 201912311950:2101.7247924804688, 201912311955:2106.705108642578, 201912312000:2130.2453002929688, 201912312005:2135.225616455078, 201912312010:2140.2059326171875, 201912312015:2145.186248779297, 201912312020:2150.1665649414062, 201912312025:2155.1468811035156, 201912312030:2160.127197265625, 
201912311940:2095.8802795410156, 201912311945:2100.90185546875, 201912311950:2105.9234008789062, 201912311955:2110.9449768066406, 201912312000:2132.5740966796875, 201912312005:2137.595672607422, 201912312010:2142.617218017578, 201912312015:2147.6387939453125, 201912312020:2152.6603393554688, 201912312025:2157.681915283203, 201912312030:2162.7034912109375, 201912312035:2167.7250366210938, 
